Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,265,1855,IDPs,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,<25%,>75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,263,1841,Returns,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,389,2723,Returns,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,51%-75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,294,2058,Returns,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,51%-75%,25%-50%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,No,Lack of school supplies,Work in the fields,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,317,2219,Returns,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,>75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,478,3346,Returns,Yes,Yes,Adamawa,Numan,Kodomti,Communal shelter,,,51%-75%,<25%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Lack of parental/Care givers support,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,76,532,IDPs,Yes,Yes,Adamawa,Numan,Numan I,Rented house,,,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,61,427,IDPs,Yes,Yes,Adamawa,Numan,Numan I,Rented house,,,<25%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,172,1204,Returns,Yes,Yes,Adamawa,Numan,Numan I,Rented house,,,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,220,1540,Returns,Yes,Yes,Adamawa,Numan,Numan I,Rented house,,,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,231,1617,Returns,Yes,Yes,Adamawa,Numan,Numan I,Rented house,,,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,170,1190,IDPs,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,64,448,IDPs,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,70,490,IDPs,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,7,49,IDPs,Yes,Yes,Adamawa,Numan,Numan Ii,Transitional shelter,,,,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,19,133,IDPs,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,122,854,Returns,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,<25%,<25%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,138,966,Returns,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,201,1407,Returns,Yes,Yes,Adamawa,Numan,Numan Ii,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,91,637,IDPs,Yes,Yes,Adamawa,Numan,Numan Iii,Rented house,,<25%,25%-50%,51%-75%,Yes,No,Police,Malaria,Yes,No,No
Yes,Off-site,<2km,<25%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,62,434,IDPs,Yes,Yes,Adamawa,Numan,Numan Iii,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<1km,51%-75%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy they are working,They are working lack of food at home and school,Yes,Yes,181,1267,Returns,Yes,Yes,Adamawa,Numan,Numan Iii,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,Off-site,<2km,51%-75%,No enough learning space,No,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,139,973,Returns,Yes,Yes,Adamawa,Numan,Numan Iii,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,178,1246,IDPs,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,189,1323,IDPs,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,<25%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,263,1841,IDPs,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,51%-75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of teachers,Lack of school supplies,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,137,959,Returns,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,182,1274,Returns,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,153,1071,Returns,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,No enough learning space,Yes,Lack of school supplies,Fees or costs,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,143,1001,Returns,Yes,Yes,Adamawa,Numan,Sabon Pegi,Rented house,,,25%-50%,>75%,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,15,90,IDPs,Yes,Yes,Adamawa,Shelleng,Bodwai,Accommodation by other families,,,,,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,10,60,IDPs,Yes,Yes,Adamawa,Shelleng,Bodwai,Accommodation by other families,,,,,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,50,300,IDPs,Yes,Yes,Adamawa,Shelleng,Gundo,Accommodation by other families,,,,,Yes,No,,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,100,600,IDPs,Yes,Yes,Adamawa,Shelleng,Gundo,Accommodation by other families,,,,,Yes,No,,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,55,330,IDPs,Yes,Yes,Adamawa,Shelleng,Jumbul,Accommodation by other families,,,,,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,175,1050,IDPs,Yes,Yes,Adamawa,Shelleng,Jumbul,Accommodation by other families,,,,,Yes,No,Police,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,110,660,IDPs,Yes,Yes,Adamawa,Shelleng,Jumbul,Accommodation by other families,,,,,Yes,No,Community,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,250,1500,IDPs,Yes,Yes,Adamawa,Shelleng,Ketembere,Accommodation by other families,,,,,Yes,No,Community,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,20,120,IDPs,Yes,Yes,Adamawa,Shelleng,Ketembere,Accommodation by other families,,,,,Yes,No,Community,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,10,60,IDPs,Yes,Yes,Adamawa,Shelleng,Kiri,Accommodation by other families,,,,,Yes,No,,Malaria,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,20,120,IDPs,Yes,Yes,Adamawa,Shelleng,Kiri,Accommodation by other families,,,,,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,450,2700,Returns,Yes,Yes,Adamawa,Shelleng,Kiri,Accommodation by other families,,,,,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,330,1980,Returns,Yes,Yes,Adamawa,Shelleng,Kiri,Accommodation by other families,,,,,No,No,,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms are crowded,Yes,Distance to the school (too far),Fees or costs,Lack of school supplies,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Fees or costs,Fees or costs,Yes,Yes,20,120,IDPs,Yes,Yes,Adamawa,Shelleng,Libbo,Accommodation by other families,,,,,No,No,,Fever,Yes,No,No
Yes,On-site,<2km,51%-75%,Classrooms not crowded,Yes,Fees or costs,Lack of school supplies,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",Fees or costs,Fees or costs,Yes,Yes,35,210,IDPs,Yes,Yes,Adamawa,Shelleng,Libbo,Accommodation by other families,,,,,Yes,No,Community,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,Yes,Fees or costs,Lack of school supplies,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",None girls,None boys,Yes,Yes,495,3000,Returns,Yes,Yes,Adamawa,Shelleng,Libbo,Accommodation by other families,,,,,No,No,,Malaria,No,No,No
